id,age,finance,week,arrest,race,work.exp,married,parole,prior,educ,employ1
1,27,no,20,1,black,no,not married,yes,3,3,no
2,18,no,17,1,black,no,not married,yes,8,4,no
3,19,no,25,1,other,yes,not married,yes,13,3,no
4,23,yes,52,0,black,yes,married,yes,1,5,no
5,19,no,52,0,other,yes,not married,yes,3,3,no
6,24,no,52,0,black,yes,not married,no,2,4,no
7,25,no,23,1,black,yes,married,yes,0,4,yes
8,21,yes,52,0,black,yes,not married,yes,4,3,no
9,22,no,52,0,black,no,not married,no,6,3,no
10,20,no,52,0,black,yes,not married,no,0,5,no
11,26,yes,52,0,black,no,not married,yes,3,3,no
12,40,no,52,0,black,yes,not married,no,2,5,no
13,17,no,37,1,black,yes,not married,yes,5,3,no
14,37,no,52,0,black,yes,not married,no,2,3,no
15,20,no,25,1,black,no,not married,yes,3,4,no
16,22,yes,46,1,black,yes,not married,yes,2,3,no
17,19,no,28,1,black,no,not married,no,7,3,no
18,20,no,52,0,black,no,not married,no,2,3,no
19,25,no,52,0,black,no,not married,yes,12,3,no
20,24,no,52,0,other,yes,not married,yes,1,3,no
21,23,no,52,0,black,no,not married,yes,4,3,no
22,44,yes,52,0,black,yes,married,yes,0,3,no
23,29,yes,24,1,black,yes,not married,yes,2,4,no
24,28,yes,52,0,other,yes,not married,yes,1,3,yes
25,21,yes,52,0,black,yes,not married,no,0,4,no
26,19,yes,52,0,black,yes,not married,yes,2,3,no
27,33,no,52,0,black,yes,not married,yes,1,4,no
28,19,no,52,0,black,no,not married,no,2,3,no
29,19,yes,52,0,black,no,not married,yes,3,3,yes
30,23,yes,52,0,black,yes,married,yes,9,3,yes
31,23,yes,52,0,black,no,not married,yes,3,5,no
32,19,yes,52,0,black,no,not married,yes,1,3,no
33,42,yes,52,0,black,yes,not married,no,0,5,no
34,23,no,52,0,black,yes,married,no,2,4,no
35,24,no,52,0,black,yes,not married,no,3,4,no
36,20,yes,50,1,black,yes,not married,yes,2,3,no
37,22,no,52,0,black,yes,not married,yes,5,3,yes
38,27,no,52,0,black,yes,not married,no,2,3,no
39,19,yes,52,0,black,no,not married,no,4,3,yes
40,28,no,52,0,black,yes,not married,yes,3,3,no
41,33,yes,52,0,black,yes,married,no,9,3,no
42,24,no,52,0,black,yes,not married,yes,1,4,no
43,21,no,10,1,black,no,not married,yes,14,3,no
44,22,no,52,0,black,no,not married,yes,2,3,no
45,19,yes,52,0,black,no,not married,yes,2,4,no
46,22,yes,52,0,black,no,not married,no,2,4,no
47,22,yes,52,0,black,no,not married,no,15,3,no
48,23,yes,20,1,black,yes,not married,yes,5,3,no
49,32,no,52,0,black,yes,married,yes,2,2,yes
50,27,yes,52,0,black,yes,not married,yes,0,4,no
51,36,yes,52,0,black,yes,not married,no,0,3,no
52,22,yes,52,0,black,yes,not married,yes,1,4,no
53,32,yes,52,0,black,yes,not married,yes,1,3,no
54,19,yes,50,1,black,yes,not married,no,10,3,yes
55,28,no,52,0,black,yes,married,yes,1,5,no
56,32,no,52,0,other,yes,not married,no,3,2,no
57,33,no,52,0,black,yes,married,yes,1,4,no
58,26,no,52,0,black,no,not married,yes,1,2,no
